predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
15454.11197905279,17694.986039660216,14940,14200
17105.81557858747,18369.65823161116,15660,17250
14263.729536830724,14913.798882402465,13500,14000
15047.02294166677,16178.345166903704,15200,14800
15071.800397462284,16193.838954233723,14660,15160
12014.590066280522,12302.500697063166,13800,15050
14133.730000627183,15328.134408262293,13300,13300
11480.704585097817,12705.030916078198,10766,10689
11793.783745112727,12278.845411791184,12800,15700
12117.256101859677,12597.92261852259,10500,12500
13635.678764592787,14728.298043576586,12890,12890
14674.436993411256,15127.609075617867,10500,10500
11858.891600450766,11546.427414482334,10800,10800
10693.792755371815,10580.451956735771,11500,12700
11446.96648118069,11824.986485575826,10250,10250
10827.457591511016,11200.215192839289,12000,12500
11493.895346408899,11341.885742267263,11750,12200
10977.718346989624,11241.137645308476,11450,11950
14488.588496906776,17114.053920269504,15950,17250
11664.164438163392,12213.51437198419,10850,11700
11252.159006260737,13502.765464007865,17160,14140
10333.930772337757,10874.100022336184,11120,11400
10434.385055771952,10597.35741964777,10467,11133
11456.388609020152,11461.352160908631,12100,12650
8718.122320308677,9365.139015912975,10500,10500
9505.38520594769,9372.530754537185,10750,11250
