predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
15642.476493945496,17775.792257823392,14940,14200
17746.002875585727,18479.978292449956,15660,17250
13235.744621889598,13497.313896695945,12950,14875
12862.501347903311,13624.221161361524,11870,12150
12814.038795152106,13514.059254280492,12500,13500
15797.646244405585,18000.156249323678,13650,13950
11500.874841160814,12288.160731750984,12800,15700
12234.850837917722,13440.187009296353,10650,10995
11827.033555029786,12689.334728446307,10500,12500
13740.194771060691,14814.325349666342,12890,12890
14940.41147397739,15271.108342099036,10500,10500
11817.16194175387,11689.519679386725,10800,10800
10295.082244206074,10308.873975488781,11500,12700
11094.732669034469,11535.119464114132,12000,12500
14271.02555610826,15945.902460759144,13000,14000
11824.895938622465,11416.234811780463,10000,10000
11554.204377122034,12292.618558923421,11000,12000
11427.48683814807,12132.602304933185,10900,11440
11670.873087932965,12317.431563755279,11300,12500
9813.713606165044,9550.608769735887,11000,11000
10274.485767663435,9576.973628397294,10100,10300
9526.545397984319,9837.339042481655,10500,10500
10853.201372508658,10566.153221610071,10500,10500
11033.69085088987,11970.117782118212,10700,11700
8914.04363934976,8882.732699377133,9495,9495
11667.538459793359,12206.504496837351,9250,9250
