predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
18402.192478092864,19019.19418386609,17040,15440
14684.089960653564,15681.33382519531,13200,13900
14966.690492967688,16066.627646733565,14660,15160
14779.890484474452,16420.554297680275,14200,14200
14713.545472430567,16070.416480507138,12680,12680
11946.15478220793,12502.82985720647,13800,15050
14263.072784559108,15800.164786330532,13300,13300
13728.502017592582,14948.902175179132,13020,13420
13555.230812085707,14876.108659815758,14000,13500
15312.713245576735,15796.305405934854,10500,10500
10592.813649997823,10651.73281353054,12495,12495
11658.543644200401,11523.95573800782,10800,10800
11125.223892740989,11916.61390158962,12000,12500
13425.384082763689,13905.331059368209,12500,12500
14109.876918486098,15899.565190377723,13000,14000
9995.067155309694,9686.204636811293,12250,13250
15153.831794603173,17241.42023969403,15950,17250
11913.559623810414,11476.608498256901,10000,10000
11324.455003346971,12161.420269427486,11000,12000
10972.444080704923,11559.800762237284,13000,12750
12612.259670348107,12332.361068308439,10700,11400
9616.97777113375,9424.18416542733,11000,11000
9505.371509668475,9469.262815066739,9500,10600
10340.819685407407,9847.484070859447,10100,10300
9268.54775770063,8953.660280442076,10750,11250
13106.463835527953,13512.887016305433,12000,14000
