predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
17684.56957222902,18667.961842358305,23500,29900
15483.245753991107,16880.665301695943,14500,14500
13294.626506895898,13735.798284069091,12950,14875
16241.407921463491,15990.540464187601,13000,13000
13109.144528614379,14030.525141219716,14250,13850
11674.50790475437,12523.00240221861,12800,15700
12015.79111072616,12392.612610096905,10650,10995
11753.356126107994,12279.865178488879,10500,12500
14743.598542796446,14913.704463751314,10500,10500
11616.712519648301,12194.003689578087,11500,11500
10787.611734357515,11447.696007627777,11150,11500
10579.469512489672,11166.447424566082,11500,12700
11197.839931274126,11367.493983594879,10250,10250
10643.06843745858,10057.837532807238,12250,13250
11845.563962041031,11587.910940550844,10000,10000
11468.950177559922,11184.817136173657,11000,13000
11700.250638759859,12078.459156204264,10500,10500
10731.622219548699,11039.93075424086,10750,10950
10185.930897326118,9890.525663634055,10000,11000
11523.940014366963,11580.934578185359,10380,10930
10036.843817360466,9915.194113264843,11120,11400
11559.22575098528,12149.13317647401,11300,12500
11540.066932980742,11800.028444494033,8350,9600
11380.314450645285,11703.359668856543,11300,11300
10469.692510225394,10409.813575651464,10800,12500
9948.372891157265,9752.544356287277,9500,10600
